post,topic,audience
"Just announced: @Seramount has named us among its 2023 Best Companies for Multicultural Women. Since our founding, our culture has focused on diversity, inclusion and respect for all. Learn more about this recognition: https://t.co/3421Npusb9 #SeramountMCW #BelongAtAbbVie https://t.co/EIxnEouG4e",company announcement // other,all
"@theVeganAT @Aetna @theVeganAT We encourage you to speak with your insurer or one of our insurance specialists. Insurance specialists are available at 1.800.274.6867, Monday through Friday from 8 AM to 8 PM ET. Also visit https://t.co/iBvdED93MO to learn ",company announcement // parents,HCP / Clinical / R&D
"@abbvie [Video description: Amber, an ulcerative colitis patient, talks about life with this disease.]",company announcement // general disease info / awareness,all
"Amber, an #UlcerativeColitis patient, shares how she stays hopeful despite the challenges caused by her disease. Her story and others are part of our video series, “Gutsy IBD Conversations,” available now: https://t.co/54gkUXB8jB #IBD https://t.co/Ed5boXDwek",company announcement // motivation and support,all
"Multiple #myeloma (MM) is the second most common #BloodCancer, with about 176K global new cases diagnosed annually. Our scientists are dedicated to advancing research in MM. #EHA2023 #MMsm https://t.co/nP6DYBFZeU",company announcement // general diease info / awareness,all
"DYK that the cause of chronic lymphocytic leukemia (#CLL) is most likely genetic factors, rather than environmental? During #EHA2023, learn more about our scientists’ research in this blood cancer: https://t.co/dsuExU9gOz #CLLsm https://t.co/3O0kpFik45",company announcement // motivation & support,all
"At #EHA2023, we’re sharing new research in different types of non-Hodgkin’s lymphoma, such as large B-cell lymphoma (#LBCL) and diffuse large B-cell lymphoma (#DLBCL). Learn more about our work in #oncology: https://t.co/5rdNhP48oe https://t.co/PKshofHU7G",company announcement // conferences & outreach,all
"[Video description: Icon symbolizing five people. On-screen text reads, “Non-Hodgkin’s lymphoma (NHL) accounted for more than 540,000 new cancer cases worldwide in 2020.”]",company announcement // general disease info / awareness,all
"Today at #EHA2023, we’re presenting new data from our latest #oncology research in follicular #lymphoma (FL), a type of non-Hodgkin’s lymphoma (NHL). Learn more about our research focus areas: https://t.co/iQbInTlgpr https://t.co/wcKtpbCUpb",company announcement // conferences & outreach,all
@abbvie [Video description: On-screen text reads “Oncology News” with the AbbVie logo.],company announcement // research & publication,all
"NEWS: As #EHA2023 kicks off today, learn about our latest research in chronic lymphocytic leukemia (#CLL): https://t.co/lUD3R1JuZi https://t.co/VcylXALkto",partnership // research & publication,all
"@abbvie [Video description: On-screen text reads, “Approximately 190,000 people in 2015 were diagnosed with AML globally.”]",company announcement // general diease info / awareness,all
Acute myeloid leukemia (#AML) is a rapidly progressing #BloodCancer. Join us at #EHA2023 as we share our latest hematology research: https://t.co/ozcce4hyE1 #AMLsm https://t.co/H8c4A9WDew,company announcement // research and publications,all
"[Video description: A variety of footage shown in succession, including close-ups of eyes, people enjoying everyday life, ophthalmology consultations and scientists in AbbVie labs.]",company announcement // research & publication,all
"#Vision matters. For more than 75 years, our #EyeCare experts have partnered with caregivers and patients to help address unmet needs. Learn more: https://t.co/KH9S7KUtUY https://t.co/aYF1KVMPr4",company announcement // general disease info / awareness,all
"#ASCO23 may be over, but we’re not slowing down in our mission to transform the way #cancer is treated. See how we’re putting our expertise to work: https://t.co/gcHELCij47 https://t.co/hR2bADX7eX",company announcement // conferenes & outreach,all
#EHA2023 begins tomorrow. We’re attending the congress this week to present new #research from our robust #oncology portfolio. Learn more: https://t.co/BefQEGhs0o @EHA_Hematology https://t.co/xIx6KimniW,company announcement // conferences & outreach,all
@abbvie [Video description: AbbVie employees discuss the opportunities available working in oncology.],company announcement // new hires / employee updates,all
"Join our team of #oncology professionals who are passionate about collaboration, career development and improving treatment outcomes for #cancer patients. Explore our opportunities: https://t.co/SvJIIOfn4C #ASCO23 https://t.co/T1yytorjM1",company announcement // conferences & outreach,all
"[Video description: Icons depicting a brain, person, group of people and silhouette of a person’s profile. On-screen text reads, “Stroke is a leading cause of long-term disability worldwide…”]",company announcement // motivation & support,all
[…“Spasticity is a common post-stroke condition that causes stiff or rigid muscles. Up to 43% of stroke survivors can develop muscle spasticity. We’re committed to helping people impacted by stroke.”],company announcement // motivation & support,all
"People living with post-stroke #spasticity drive our passion to progress #neuroscience research. If you’re attending @ISPRM Congress, learn more about our work to support the #stroke community: https://t.co/kxocMGf2mm #ISPRM2023 https://t.co/e7bvTDkPBS",company announcement // conferences & outreach,all
"[Video description: On-screen text reads, “EULAR 2023 In Review. 33 accepted abstracts. 4 oral data presentations. 2 data releases. See you next year.”]",company announcement // research & publication,all
#EULAR2023 is in the books. We’re already looking forward to next year and reconnecting with those in the #rheumatology space. https://t.co/JzyJimSiOV,company announcement // conferenes & outreach,all
"@BakerinkB Hi Brad, we saw your tweet and want to connect. Can you please follow us so we can DM you with further assistance?",company announcement // other,all
"@QueenLsween Hi Lauren, we saw your tweet and want to connect. Can you please follow us so we can provide you with further assistance?",company announcement // other,all
Attending this year’s @ISPRM Congress? Join our symposium on post-stroke #spasticity. Learn more about #ISPRM2023 here: https://t.co/sG64Yjev8Z https://t.co/kTLC4DiD8k,company announcement // conferences & outreach,all
"This #NationalCancerSurvivorsDay, we’re proud to be at #ASCO23 showcasing how we’re raising awareness for the needs of patients with rare or difficult to treat #BloodCancer. Explore our efforts. https://t.co/4JDiniLemB https://t.co/deqZ0yf0iq",company announcement // conferenes & outreach,all
"[Video description: Tim Shaw, Global Therapeutic Area Head Rheumatology, Global Medical Affairs at AbbVie, discusses unmet need and AbbVie’s commitment to rheumatology.]",company announcement // motivation & support,all
"As a trusted leader in #rheumatology, we strive to develop and deliver innovations that address the global unmet needs of patients with immune-mediated diseases. Explore: https://t.co/SGzji95VBD https://t.co/2xwH28ZG2Z",company announcement // motivation & support,all
"Congrats to Dave Llewellyn & Joe Illingworth for being recognized in @endpts ’ “20 under 40” special report, which honors the next generation of #biotech leaders. We look forward to seeing what’s next in their work with us to help improve patients’ lives. https://t.co/h7ANfB7ryJ",company announcement // other,all
Join a team of dedicated experts who are making significant contributions to our #onoclogy pipeline. Explore our opportunities: https://t.co/55R1PuNLM9 #ASCO23 https://t.co/P1YctcwYac,company announcement // conferences & outreach,all
"[Video description: Icons depicting patients and healthcare. On-screen text displays facts about Systemic lupus erythematosus (SLE), an autoimmune disease]",company announcement // general disease info / awareness,all
"For people with systemic #lupus erythematosus (#SLE), treatment options remain a critical unmet need – inspiring us to keep pushing forward. #EULAR2023 https://t.co/LVKSAAiMAX https://t.co/Z0F0oiGGM3",company announcement // research & publication,all
"To recognize #PrideMonth, members of our PRIDE employee resource group share what it means to be ""Full of Pride"" while empowering their #LGBTQIA+ colleagues and allies to bring their authentic selves to work. Learn more about our culture: https://t.co/JbRemqjREC #BelongAtAbbVie https://t.co/1Mtc0k6Ani",company announcement // other,all
"Headed to #ASCO23? We’ll be presenting new data across our #oncology portfolio and pipeline, including some of the most difficult to treat forms of blood cancer to #NSCLC and other solid tumors. https://t.co/w6Tv7SOV8G",company announcement // conferences & outreach,all
Interested in taking a closer look at the latest trends in #rheumatology? Attend our “#SpA on the Runway“ session at #EULAR2023: https://t.co/vfRA7aWdF7 https://t.co/QeIitslhCi,company announcement // research & publication,all
"To uncover newer, faster ways to help patients, #immunology research needs more innovation. But how do we get to that next level? Read about some targeted approaches our scientists are taking. https://t.co/LrfvN92Ues #EULAR2023 https://t.co/7shaJgWEGJ",company announcement // conferences & outreach,all
#EULAR2023 attendees: Join our discussion about tailoring #PsA therapy to fit the patient: https://t.co/qMGOUvyu2E https://t.co/eZFTMrVcA2,company announcement // conferences & outreach,all
"...90+ compounds, devices or indications in development individually or under collaboration or license. 50+ programs in mid- and late-stage development.”]",company announcement // research & publication,all
[Video description: Graph icon with on-screen text: “Pipeline by the numbers. $6.5B R&D investment in 2022. 80% of compounds in clinical development with a novel mechanism of action...,company announcement // research & publications,all
"At #EULAR2023, we’re excited to highlight our scientific research. Learn more: https://t.co/RnvtLS12S2 https://t.co/pmTCNqndhF",partnership // general disease info / awareness,all
"@abbvie [Image description: On-screen text reads, “Immunology News. EULAR 2023 Congress. New data presented in systemic lupus erythematosus (SLE).”]",company announcement // research & publication,all
We’re presenting new #lupus data at #EULAR2023. More: https://t.co/0YzhbNgMum,company announcement // conferences & outreach,all
"If you’re attending #EULAR2023, join our discussion about Benefit:Risk assessment, happening today in Session Room 2: https://t.co/jQ00DsqCmE https://t.co/UvK8fvAe55",company announcement // other,all
"@Mirabellegems Hi Gemma, we saw your tweet and want to connect. Can you please follow us so we can DM you with further assistance?",company announcement // other,all
"By doing our part to mitigate the effects of climate change, we’re creating a positive impact for generations to come. That’s why we’re proud @sciencetargets (#SBTi) has validated our near-term emissions reduction targets. Learn more: https://t.co/uRZ8z53azM https://t.co/SojAjYrS9p",company announcement // conferences & outreach,all
"@abbvie [Video description: Mudra Kapoor, VP, Immunology, Global Medical Affairs at AbbVie, discusses our efforts in rheumatic disease.]",company announcement // motivation & support,all
A culture of curiosity and purpose drives our commitment to deliver innovative solutions for #RheumaticDisease management. Learn more: https://t.co/skEDcXwGPU https://t.co/3wjOuxD0wg,company announcement // general disease info / awareness,all
"[Video description: On-screen text reads, “Did you know…” followed by corresponding facts about blood cancers such as chronic lymphocytic leukemia, acute myeloid leukemia, multiple myeloma, myelofibrosis and diffuse large B-cell lymphoma.]",company announcement // general disease info / awareness,all
Today is #WorldBloodCancerDay. Learn about our efforts to uncover new solutions that help transform the way #BloodCancer is treated: https://t.co/vR7XHpLgZn #WBCD https://t.co/MmKXmh8WFr,company announcement // general disease info / awareness,all
"[Video description: On-screen text reads: ""An estimated 1.28 million patients were diagnosed with blood cancer globally in 2020. There are three main types of blood cancers: leukemia, lymphoma and multiple myeloma.""]",company announcement // general disease info / awareness,all
"Ahead of #WorldBloodCancerDay, join us in raising awareness of the global prevalence of #BloodCancer. Learn about our work to support those battling these rare and often devastating diseases: https://t.co/XYht9J39d5 #WBCD https://t.co/syDXtalG45",company announcement // motivation & support,all
"@CaliLuxeCouture Hi there, we saw your tweet and want to connect. Can you please follow us so we can DM you with more information?",partnership // other,all
"[Video description: A variety of footage shown in succession, including close-ups of eyes, people enjoying everyday life, ophthalmology consultations and scientists in AbbVie labs.]",company announcement // research & publication,all
"From reading a menu to watching a grandchild walk down the aisle, #vision matters. We aim to deliver innovative #EyeCare treatments to help preserve and protect sight for people around the world. https://t.co/5yZB3mHeTH",company announcement // motivation & support,all
"@abbvie [Video description: Patients, HCPs and gastroenterology experts share their experiences with IBD and hope for the future.]",company announcement // general disease info / awareness,all
"Now available: Our video series, “Gutsy IBD Conversations,” brings together voices from around the world to uncover the hidden realities of #IBD. Watch their stories: https://t.co/FT2prfGDgE https://t.co/LS30UwvtLY",company announcement // motivation & support,all
"@abbvie [Video description: On-screen text reads, “Immunology News” while a small, magnifying circle moves across the words.]",company announcement // research & publication,all
Newly published data in @NEJM shares results from pivotal Phase 3 trials in adult patients with #CrohnsDisease Learn more: https://t.co/9CTv0UOU1L https://t.co/bW3fdRKd2o,company announcement // research & publications,all
"@TWOGR8DANES2 Hi there, we saw your tweet and want to connect. Can you please follow us so we can DM you with further assistance?",company announcement // other,all
"@teachersbrain Hi there, we saw your tweet and want to connect. Can you please follow us so we can DM you with more information?",company announcement // other,all
"[Image description: On-screen text reads, ""Immunology News. EULAR 2023 Congress. New data presented in rheumatoid arthritis (RA), psoriatic arthritis (PsA), and axial spondyloarthritis (axSpA).""]",company announcement // research & publication,all
"During #EULAR2023, we're presenting our latest research across multiple #RheumaticDiseases. Learn more: https://t.co/JGfkKBTOo1",company announcement // conferences & outreach,all
"We're grateful to Hailey and the many others who contributed to ""Gutsy IBD Conversations"" by sharing their stories and experiences about the impact of #IBD. Hear from other voices in our series: https://t.co/MIsyniMnQd",partnershiphip / organizational update // general disease info / awareness,all
"@lorijovest Hi Lori, we saw your tweet and want to connect. Can you please follow us so we can DM you with further assistance?",company announcement // other,all
"Just announced: We’ve been recognized by @PointsofLight as one of the most community-minded companies in the U.S., marking our ninth time on #TheCivic50 list. Learn more about this recognition: https://t.co/MOEBUrlk1D",company announcement // other,all
"ATTN Midwest-based #biotechs: Ready to take your research to the next level? Today marks the launch of our third AbbVie Innovation Midwest (AIM) award. Apply by July 7 for a chance to receive seed funding, lab space and more: https://t.co/nYh7JJ8xQJ https://t.co/jtye9xsD74",company announcement // conferences & outreach,all
Why is representation lacking in #ClinicalTrials for some patient populations? Hear from our head of diversity & patient inclusion on common challenges to #ClinicalTrialDiversity and ways we can address them: https://t.co/LtSbA63MHf #ClinicalTrialsDay #CTD2023 https://t.co/bW4Qnn2ACy,company announcement // clinical trial,all
"With patients at the heart of what we do, we aim to deliver innovative #EyeCare treatments to help preserve and protect sight for people around the world. https://t.co/t63StiPhXB",company announcement // research & publications,all
"@abbvie [Video description: On-screen text reads, “Oncology News” while a small, magnifying circle moves across the words.]",company announcement // research & publication,all
"JUST IN: The @US_FDA approved our treatment for adults with relapsed/refractory diffuse large B-cell #lymphoma (#DLBCL), an aggressive form of non-Hodgkin’s lymphoma, who have received at least 2 prior systemic therapies. Read more: https://t.co/Xc0bIQwiCp @Genmab https://t.co/TmZmfxY0zY",company announcement // patent,all
"@abbvie [Video description: Seb Tucknott, CEO and co-founder of IBDrelief, shares learnings from conversations with IBD patients.]",partnershiphip / organizational update // general disease info / awareness,all
"Today is #WorldIBDDay. For the past few months, we’ve gathered stories from people around the world whose lives have been impacted by #IBD. See a sneak peek of the upcoming video series. https://t.co/GIYiIcOBoA",company announcement // conferences & outreach,all
"@abbvie [Video description: On-screen text reads, “Immunology News.”]",company announcement // research & publication,all
NEWS: The @US_FDA approved one of our treatments for adults with moderately to severely active #CrohnsDisease. Read more: https://t.co/jTWsRWGVqD https://t.co/ZYCzbLsX5w,company announcement // patent,all
"[Video description: On-screen text reads, “Gutsy IBD Conversations,” surrounded by speech bubbles with the word “IBD” translated in multiple languages.]",company announcement // motivation & support,all
"Leading up to #WorldIBDDay, we’ve been facilitating open conversations about #IBD with people around the world. Stay tuned to hear these voices and important discussions, available soon on our YouTube channel. https://t.co/PW3Qj9OlPX",company announcement // motivation & support,all
RT @BCYFcenters Great crowd on hand to celebrate the new STEM lab at BCYF Shelburne Community Center. Thank you @celtics and @abbvie for making this possible and @MayorWu for joining us! https://t.co/tgEFiOyCvf,company announcement // conferences & outreach,all
"@Caliwakeboarder Hi ryan, we saw your tweet and want to connect. Can you please follow us so we can DM you with further assistance?",company announcement // other,all
@abbvie [Video description: AbbVie employees share their reason and passion for working in oncology.],company announcement // new hires / employee updates,all
"What drives our #oncology team's passion for their work? From patients to their colleagues, hear what fuels their ""why."" Explore our open roles with this team: https://t.co/MyAAhWgujV #AbbVieLife https://t.co/JqpsXCZNBA",partnership // research & publication,all
"To make a meaningful difference for #EyeCare patients, we focus on clinically relevant #science and seek to elevate the standard of care across a range of conditions. More: https://t.co/S7VgDyndD9 https://t.co/HdwZ8Mx6yP",company announcement // research & publication,HCP / Clinical / R&D
[Image description: A father holds a child while cooking at home; a woman hugs an elderly person; a woman sits in a doctor’s office while the doctor holds a stethoscope; a man works on his laptop outside; a woman checks in at a gym.],partnership // motivation & support,all
It’s important our employees prioritize their #MentalHealth all year. That’s why we offer resources & programs to help them #LookAroundLookWithin & be their best selves. See how we support their well-being. https://t.co/ftELu7Dni2 #MentalHealthAwarenessMonth #MentalHealthMonth,company announcement // motivation and support,all
"NEWS: At #DDW2023, we’ll present nearly 30 abstracts highlighting new data across our gastroenterology portfolio in #CrohnsDisease, #UlcerativeColitis and functional constipation. Learn more: https://t.co/xfNeq5Ev8T https://t.co/MR0qRYwmvZ",company announcement // conferenes & outreach,all
"@abbvie [""...continues to help us move forward innovation for patients living with rheumatic diseases, including axial spondyloarthritis.""]",company announcement // motivation & support,all
"[Video description: AbbVie’s Christopher Herrem, Sr. Scientific Director, TA Lead - Integrated Spondyloarthritis, Global Medical Affairs, says, ""Leveraging our historic legacy and knowledge in rheumatology...""]",partnershiphip / organizational update // general disease info / awareness,all
"Ahead of #WorldASDay2023, join us in supporting @ASIntFed to raise awareness of the impact of #AxialSpondyloarthritis. Learn about our historic commitment to patients with rheumatic diseases: https://t.co/rjFgEpVQ3w https://t.co/B1bcIv0nJw",company announcement // motivation & support,all
"Once again, we’re pleased to be named among the Top 50 Companies for Diversity by @DiversityInc. This recognition speaks to our inclusive culture and focus on establishing a sense of belonging for all employees. More: https://t.co/HMEx7KBxTN #DITop50 #BelongAtAbbVie https://t.co/Ox2WzgMVdb",company announcement // other,all
"@sweetnanagranol Hi Sweet Nana, we saw your tweet and want to connect. Can you please follow us so we can DM you with more information?",company announcement // other,all
Thanks to @GPTW_US & @MBushGPTW for the great conversation with our head of HR around #culture and #leadership trends. Listen here: https://t.co/yI4NTJgNmR #BestWorkplaces #GPTWCertified https://t.co/PKo2JUySy0,company announcement // new hire / employee update,all
"@abbvie [""To learn more, read the full 2022 ESG Action Report or visit https://t.co/oRjPLkCvGm.""]",company announcement // conferences & outreach,all
"[Video description: On-screen text reads, ""2022 ESG Action Report"" followed by 8 highlights from the report. Text continues, ""Transforming lives. Acting with integrity. Driving innovation. Serving the community. Embracing diversity and inclusion.""]",company announcement // motivation & support,all
"Just released: Our 2022 #ESG Action Report. See how we’re advancing #innovation, increasing access to medicines and enhancing #sustainability to further our mission of making a remarkable difference on people’s lives: https://t.co/2HuONhXNLV https://t.co/qlerjSErJC",company announcement // conferences & outreach,all
@abbvie [Video description: AbbVie employees share how they honor their heritage for Asian American Pacific Islander Heritage Month.],partnership // other,all
"As #AAPIHM kicks off, hear members of our Asian Leadership Network employee resource group share how they honor their heritage. #AAPI #BelongAtAbbVie https://t.co/eyFe9gMsaf",company announcement // other,all
"[Video description: Footage of students and on-screen facts about the impact of AbbVie’s donation to Communities In Schools (CIS), featuring interviews with CIS Chicago leadership and staff.]",partnership // general disease info / awareness,all
"In 2018, we donated $30M to help @CISNational advance #equity in #education, enabling the organization to expand its program to 164 new school partners, supporting more than 260K students. See how: https://t.co/FGPpLPw0Aj",partnership // general disease info / awareness,all
"@pntamarit Hi Paco, we saw your tweet and want to connect. Can you please follow us so we can DM you with more information?",company announcement // other,all
"@abbvie [Video description: On-screen text reads, “Raised 2023 EPS Guidance Range to $10.72 - $11.12. *Adjusted, excludes specified items.”]",company announcement // research and publications,all
#ICYMI: This morning we released our Q1 2023 #FinancialResults. We are raising our full year adjusted diluted EPS guidance range to $10.72 - $11.12. Learn more about our performance: https://t.co/VgkWSh1yBF $ABBV #earnings https://t.co/2pML32SQLy,company announcement // financial results,investors
"@abbvie [Video description: Scientific equipment in a lab. On-screen text reads, ""Q1 2023 call and webcast begins now.""]",company announcement // research & publication,all
Join us LIVE: our Q1 2023 #earnings call is starting: https://t.co/wy0uJjMpp9 $ABBV https://t.co/3WLbOS3Ftx,company announcement // financial results,investors
"[Video description: AbbVie’s Chairman and CEO Richard A. Gonzalez says, “This year is off to an excellent start, with first-quarter revenues and EPS ahead of our expectations…”]",company announcement // new hire / employee update,all
Our Q1 2023 #FinancialResults are in. Learn more: https://t.co/5q9OwTv4os: $ABBV #earnings https://t.co/aQQ4FnVcHP,company announcement // financial results,investors
"@abbvie [Video description: A gloved hand holds a scientific instrument. On-screen text reads, ""Financial Results Q1 2023.""]",company announcement // financial results,investors
Reminder: Join us tomorrow morning at 8am CT as we share our Q1 2023 #FinancialResults. https://t.co/Ou7u7Uw5Um $ABBV #earnings https://t.co/DZL3cucCVP,company announcement // financial results,investors
"The desire to help people inspired Nicholas Donoghoe, our R&D chief operating officer, to become a doctor. See how he fulfills this same passion building our pipeline and delivering #medicines and solutions with life-changing potential. https://t.co/rEUIUk0Aul https://t.co/jEIKJaLhOA",company announcement // new hire / employee update,all
[Video description: Starr shares her journey with migraine and how she worked with her neurologist to receive care and get the most out of life.],company announcement // motivation and support,all
"#Migraine can impact a patient’s life in many ways, including at work and in relationships. Stories like Starr’s reinforce our commitment to #neuroscience research. Learn more: https://t.co/BkCuwpbmx5 #AANAM",partnership // research & publication,all
"@ricardrodz @LexMedCtr Hi Ricardo, we saw your tweet and want to connect. Can you please follow us so we can DM you with more information?",company announcement // other,all
"@abbvie [Video description: A gloved hand holds a scientific instrument in a lab. On-screen text reads, ""Financial Results Q1 2023.""]",company announcement // financial results,investors
"Join our #investor call this Thursday, April 27 at 8am CT, where we’ll share our Q1 2023 financial results. https://t.co/MbgFkBeRQF $ABBV #earnings https://t.co/HCFvRnTyb5",company announcement // financial results,investors
"[Video description: Nikil Patel, VP of US Medical Affairs, Neuroscience, AbbVie, says, “Neurological disorders impact up to one billion people worldwide. Every day, we work relentlessly to pursue scientific research to make meaningful change.”]",company announcement // motivation & support,all
"At #AANAM, we’re spotlighting new data that reinforces our commitment to #neuroscience research and making a difference in people’s lives. More: https://t.co/qhOktRYY7O https://t.co/lRucQZfOQW",company announcement // conferences & outreach,all
"@abbvie [Video description: 25 abstracts within our neuroscience portfolio. Visit us at: Booths 1594, 1895 and 1892.]",company announcement // conferences & outreach,all
"Attending #AANAM? Our team will be in person this year, presenting our latest #neuroscience data and showcasing the depth of our portfolio. Learn more about our commitment: https://t.co/zAQbLaVnuk https://t.co/7y1JKFK98d",company announcement // conferenes & outreach,all
@abbvie [Image description: AbbVie employees share photos with their families and discuss how they recognize Eid al-Fitr.],company announcement // other,all
"#EidMubarak to all who celebrate. See how some of our employees are honoring Eid al-Fitr, a holiday of gratitude, spending time with loved ones, and enjoying delicious meals. #BelongAtAbbVie",company announcement // other,all
"How can we make the future more #sustainable? In R&D, operations and beyond, our people are finding innovative ways to help. See some of their solutions ahead of #EarthDay: https://t.co/gRUkXROWlK https://t.co/NC2rcR3zSi",company announcement // other,all
"[Video description: Icons symbolizing a person and a magnifying glass. On-screen text reads, “Symptoms of AML may include: weight loss, fatigue, fever, weakness, easy bruising, paleness or loss of normal skin color.”]",company announcement // general disease info / awareness,all
On #AMLWorldAwarenessDay we acknowledge the strength of patients and caregivers impacted by this #BloodCancer. Their resilience motivates our team to drive oncology innovation and find new solutions. Understand the symptoms and signs of #AML. https://t.co/pPKauQnNTb,company announcement // motivation & support,all
"@abbvie [Video description: On-screen text reads, “Neuroscience News.”]",company announcement // conferences & outreach,all
"JUST IN: Today at #AANAM, we announced a late-breaking presentation of a study for the preventive treatment of episodic #migraine. Learn more: https://t.co/9suibyJhc1 https://t.co/QYRaB4NaMr",partnership // research & publication,all
Did you know #AMLWorldAwarenessDay is tomorrow? We support organizations like @AcuteLeuk and @KNOW_AML dedicated to working with acute myeloid leukemia (#AML) patients and their loved ones. Learn more: https://t.co/jZxKKAsAJM https://t.co/KLKmUTRDnk,company announcement // motivation & support,all
"[Video description: On-screen text reads, “Did you know… Approximately 90% of primary liver cancers are hepatocellular carcinomas (HCCs) and virtually all HCCs arise in patients with chronic liver diseases such as HCV (hepatitis C virus).”]",company announcement // general disease info / awareness,all
"Hepatitis B and C continue to be major contributing factors of #LiverCancer. On #WorldLiverDay, we’re highlighting the importance of early diagnosis and care to help eliminate #HCV (hepatitis C virus) by 2030. https://t.co/ypVb8X08qS",company announcement // general disease info / awareness,all
"[Image description: Text reads, ""Neuroscience News US FDA Approval. Expanded indication to include preventive treatment for chronic migraine adult patients.""]",company announcement // patents,all
"@abbvie [""This latest approval offers healthcare providers additional treatment options to help meet chronic migraine patient needs.""]",company announcement // patent,all
The @US_FDA has approved the expanded indication of our oral preventive #migraine treatment option to now include adult patients with #ChronicMigraine. Learn more: https://t.co/XRY7Mi3xC8,company announcement // patents,all
"[Image description: On-screen text reads, “EMA Approval in moderately to severely active Crohn’s Disease. Supported by two induction and one maintenance studies.”]",company announcement // patent,all
JUST IN: The @EMA_News approved our latest treatment for adults with moderately to severely active #CrohnsDisease. Read more: https://t.co/KgPQ0nmpbS https://t.co/xj2IaGiHyI,company announcement // patent,all
Join us at #AACR23 to learn more about our ADC featured in “New Drugs on the Horizon.” https://t.co/dkMJN269A8,company announcement // conferences & outreach,all
Be part of a team dedicated to transforming standards of care in #cancer through cutting-edge technologies and a deep knowledge of biology. Explore our #oncology opportunities: https://t.co/2TzIv1ZYAa #AACR23 https://t.co/GHMFzTKpKe,company announcement // conferences & outreach,all
[Video description: On-screen text: “35+ investigational medicines as potential treatment options; 300+ active clinical trials around the world; Developing new technologies and next-generation treatments in...”],company announcement // research & publication,all
"@abbvie […""tumor dependencies like regulated cell death; tumor-specific antigen targeting; immuno-oncology.”]",company announcement // research & publication,all
NEWS: Our #science is featured for the 7th consecutive year in “New Drugs on the Horizon” at #AACR23. Learn more about our #cancer research: https://t.co/D3DEooK3m5 https://t.co/6EyJ3b5yS5,company announcement // conferences & outreach,all
"[Video description: AbbVie’s Andy Souers discusses our approach to cancer research. On-screen text reads, “Once upon a time, an idea became a molecule, a molecule became a medicine, and a medicine changed many lives. AbbVie presents The Discovery Files.”]",company announcement // conferences & outreach,all
Once upon a time there was a discovery that turned into an #oncology medicine. Which of the discoveries presented at #AACR23 will become the next medicine? https://t.co/2sHMX1VzGd https://t.co/lthO9K5Gf9,company announcement // conferences & outreach,all
"@ScienceNerdSACR Hi Stephanie, we saw your tweet and want to connect. Can you please follow us so we can DM you with more information?",company announcement // other,all
"@abbvie [Video description: For people living with Parkinson’s Disease, symptoms can continue all day long.]",company announcement // general disease info / awareness,all
"For people living with #ParkinsonsDisease (PD), symptoms can continue all day long. We’re relentless in moving science and research forward to make a difference for the #PD community. https://t.co/jPtoFh7Fdh",company announcement // general disease info / awareness,all
@WorldPDCongress Thank you for being among the community of partners who share our commitment to raise awareness of Parkinson’s Disease and advance care for those living with it.,partnership // general disease info / awareness,all
"@UgraPraani Hi Vijay, we saw your tweet and want to connect. Can you please follow us so we can DM you with further assistance?",company announcement // other,all
"[Video description: Footage of the schools and students impacted by AbbVie’s donation to City Year, featuring interviews with City Year Chicago leadership and staff.]",partnership // general disease info / awareness,all
"Over the last 5 years, our partnership with @CityYear has provided more than 1M students with academic, social and emotional resources to help them stay in school and reach their potential. Learn more: https://t.co/DFmt8lM7zY #Education #Equity",company announcement // other,all
"[Video description: Maurizio Facheris, Global Development Lead, Neuroscience Development at AbbVie says: “Partnering with patient advocacy groups like the World Parkinson Coalition grants us the incredible opportunity to connect directly with the Parkinson’s community.”]",partnership // general disease info / awareness,all
[“This relationship is invaluable because it allows us to deepen our understanding of the full impact this disease has on patients and their care partners.”],partnership // general disease info / awareness,all
"This #WorldParkinsonsDay, we announce our partnership with the World Parkinson Coalition to launch the “Parkinson’s Ready” program in Barcelona, training the community to welcome people with #Parkinsons ahead of #WPC2023. Explore: https://t.co/djFrMLXNSO https://t.co/2Mspcr6JoP",partnership // general disease info / awareness,all
[...in terms of ‘on’ and ‘off’ time. ON time is when symptoms are controlled. OFF time is when PD symptoms are uncontrolled. Off time can be unpredictable and symptoms can return at any time.],company announcement // general disease info / awareness,all
"[Key non-motor symptoms include pain, fatigue, sleep disturbances, delayed gastric emptying, anxiety, difficulty swallowing, psychosis, depression, cognitive decline/dementia. As Parkinson’s disease progresses, PD is frequently talked about...]",company announcement // general disease info / awareness,all
"[Video description: Key motor symptoms of Parkinson’s disease include resting tremor, akinesia (absence of movement), bradykinesia (slowness of movement), muscle rigidity, impaired posture/balance.]",company announcement // general disease info / awareness,all
Those living with #ParkinsonsDisease and their doctors share the same goal: to get more “on” time. This can mean more symptom relief and more time with friends and family. #WorldParkinsonsDay https://t.co/VkimDZSm05,company announcement // motivation & support,all
"@JaniceCosentino Hi Janice, if you believe you are missing points, please give All? Member Support a call at 1-888-912-1572 between M-F, 8 AM-6 PM CT.",partnership // other,all
"Thanks to our employees, @GPTW_US & @FortuneMagazine for naming us one of the 100 #BestCompanies to Work For 6 years in a row. Explore: https://t.co/aoYF3w5rl0 #BestWorkplaces #GPTWCertified #100BestCos https://t.co/VDY30x3t70",company announcement // new hire / employee update,all
